,,,,,,
,,,,,,
,ANO,MÊS,Mêsn,ESTADO,COMPARECIMENTO,BOLSAS DE SANGUE
,2016,Setembro,9,SJRP,3935,3153
,2016,Outubro,10,SJRP,3963,3290
,2016,Novembro,11,SJRP,3544,2971
,2016,Dezembro,12,SJRP,3384,2893
,2016,Total,0,SJRP,42295,35782
,2017,Janeiro,1,SJRP,3262,2728
,2017,Fevereiro,2,SJRP,3281,2680
,2017,marco,3,SJRP,3615,2954
,2017,Abril,4,SJRP,4241,3473
,2017,Maio,5,SJRP,3324,2793
,2017,Junho,6,SJRP,4271,3355
,2017,Julho,7,SJRP,3757,3079
,2017,Agosto,8,SJRP,3249,2722
,2017,Total,0,SJRP,29000,23784
,2016,Janeiro,1,TO,,1417
,2016,Fevereiro,2,TO,,2157
,2016,marco,3,TO,,1825
,2016,Abril,4,TO,,1782
,2016,Maio,5,TO,,2003
,2016,Junho,6,TO,,2119
,2016,Julho,7,TO,,1609
,2016,Agosto,8,TO,,1913
,2016,Setembro,9,TO,,1401
,2016,Outubro,10,TO,,1982
,2016,Novembro,11,TO,,1846
,2016,Dezembro,12,TO,,2130
,2016,Total,0,TO,,22184
,2017,Janeiro,1,TO,,1684
,2017,Fevereiro,2,TO,,2473
,2017,marco,3,TO,,1918
,2017,Abril,4,TO,,1986
,2017,Maio,5,TO,,1895
,2017,Junho,6,TO,,1998
,2017,Julho,7,TO,,2034
,2017,Agosto,8,TO,,1935
,2017,Total,0,TO,,15923
